total_output_power,pa1,pa2,pa3
954.47,307.78,339.9,339.43
956.34,308.96,340.09,340.31
955.63,308.55,340.32,339.55
954.84,307.9,339.38,338.86
955.29,307.75,339.42,340.77
959.19,308.47,341.67,340.87
956.67,307.91,339.98,339.24
956.45,307.96,340.02,339.43
955.05,308.7,339.04,341.68
954.95,307.77,339.94,339.46
955.39,308.46,340.74,340.06
957.64,307.18,339.79,341.33
956.18,309.0,340.26,339.5
955.24,308.6,339.59,339.51
954.8,307.84,338.71,340.92
956.75,308.49,339.54,339.41
954.51,310.05,340.88,338.69
955.54,307.48,338.6,341.19
959.31,307.75,340.96,340.81
956.75,308.02,340.39,340.62
956.34,307.82,340.91,340.56
958.07,308.75,340.1,341.19
955.06,308.34,339.38,340.76
956.17,306.76,338.84,340.3
959.3,308.13,339.18,341.55
958.23,310.49,340.16,341.13
956.07,310.9,339.31,341.5
957.42,306.76,340.33,341.43
957.78,309.44,340.57,341.09
955.47,308.41,340.53,339.95
954.95,309.03,338.67,340.0
955.63,307.52,339.95,337.48
955.85,308.23,339.16,339.14
952.73,308.32,336.66,338.17
958.54,308.55,339.58,341.67
955.85,309.01,339.74,340.48
958.09,308.88,340.26,340.95
954.45,309.65,339.18,339.25
953.25,308.04,339.65,337.99
953.87,307.61,339.94,338.87
957.06,307.85,340.48,341.24
956.71,307.61,339.77,341.79
959.27,308.45,339.91,341.19
956.84,308.7,340.11,339.63
958.52,310.24,339.8,342.14
957.14,308.9,340.55,339.96
954.74,306.94,339.65,340.49
954.9,307.64,340.05,340.78
957.34,306.51,339.94,340.45
956.43,310.09,340.01,340.93
957.24,308.05,339.49,341.22
956.3,308.74,339.99,340.91
955.48,307.72,339.45,340.9
950.52,307.51,339.27,338.2
958.87,305.81,340.55,340.94
953.2,310.03,338.4,340.87
953.64,307.32,337.24,340.08
956.37,308.72,341.53,341.35
954.21,307.38,339.1,341.51
953.84,307.32,337.01,339.92
957.01,308.67,338.01,341.29
959.17,309.47,339.97,340.95
954.24,308.82,339.05,339.9
958.36,306.9,340.1,341.88
954.06,309.12,339.65,340.98
956.69,307.58,340.15,341.03
954.55,307.07,340.15,340.88
955.87,307.75,340.42,339.76
955.9,308.76,340.25,341.38
955.89,308.74,339.93,340.16
957.88,308.8,341.53,341.87
956.61,307.53,340.15,337.44
957.47,309.03,339.87,338.99
955.85,305.14,338.75,341.27
955.52,305.76,339.19,340.69
957.22,308.34,340.13,341.63
957.51,306.46,339.49,341.35
957.54,307.67,340.97,339.69
956.42,308.28,340.59,340.15
957.59,307.32,338.54,339.92
956.85,308.05,340.33,341.49
955.44,307.62,339.29,341.7
954.99,308.17,339.67,341.46
958.78,306.65,341.05,341.21
957.05,306.99,339.93,339.15
953.46,308.71,340.37,340.88
957.43,305.76,341.04,341.36
955.11,306.76,340.62,340.72
956.22,306.8,340.33,341.38
955.4,308.63,339.37,341.17
955.93,307.02,341.69,341.19
954.55,309.08,339.3,340.62
952.39,307.62,340.09,337.12
953.47,306.11,339.3,338.65
957.2,307.03,339.99,342.3
956.75,307.69,338.67,340.93
957.65,307.75,340.1,339.45
954.67,309.34,339.84,339.3
956.29,308.27,339.88,339.63
955.58,310.0,340.1,340.84
955.06,308.48,339.01,339.9
956.32,307.59,340.1,339.75
957.62,308.66,340.4,339.94
957.99,310.04,340.21,340.68
957.29,307.91,339.76,340.49
956.43,308.93,340.35,339.63
956.61,309.39,340.42,339.12
956.95,310.08,340.9,340.46
955.19,310.16,339.94,339.93
957.65,308.01,339.79,340.4
954.73,308.74,339.67,339.12
956.09,307.8,338.1,341.86
954.47,308.09,338.74,338.6
955.45,308.0,340.56,339.79
954.55,308.48,340.54,338.08
957.26,308.77,340.63,339.26
952.43,309.87,338.79,337.65
956.67,306.56,340.63,339.87
955.25,308.08,340.51,340.21
955.63,308.4,339.51,341.58
954.55,307.32,339.4,341.35
956.03,306.55,341.3,341.67
954.31,307.63,340.76,340.75
954.59,307.08,339.63,338.99
952.38,308.04,339.17,337.77
954.55,308.18,340.57,339.34
954.55,308.03,338.9,340.36
956.24,307.2,339.2,340.7
957.2,307.61,339.76,340.52
955.53,308.67,340.01,341.17
954.81,307.78,339.9,339.31
952.87,307.97,339.04,339.84
953.62,308.14,340.26,339.74
950.21,308.19,338.98,336.81
956.08,307.5,340.91,340.32
953.99,307.28,339.07,341.38
953.14,308.19,339.02,340.03
951.99,308.29,339.81,338.23
949.83,307.98,337.75,337.46
955.44,307.3,339.63,340.66
956.5,308.48,339.84,339.2
957.84,308.68,340.25,340.54
954.84,309.21,339.84,339.38
954.45,307.59,338.91,337.97
954.91,307.7,340.1,338.53
955.0,308.48,341.34,340.41
953.38,308.74,338.92,339.21
955.74,308.09,339.69,341.09
957.23,307.62,339.93,339.62
957.52,308.08,340.89,340.06
956.5,309.79,340.35,339.54
955.02,308.47,340.55,340.8
954.97,307.69,339.94,338.82
956.02,308.42,339.52,338.73
953.21,307.77,338.78,338.7
954.4,306.99,339.31,340.39
955.03,306.85,338.84,341.35
955.85,307.18,339.93,339.76
958.02,308.47,340.22,339.32
956.76,310.87,340.44,341.16
957.95,309.17,339.97,341.51
956.23,309.35,333.09,341.3
954.1,307.14,338.92,339.64
952.98,307.24,340.41,340.18
955.61,306.9,339.18,341.3
957.75,309.52,340.37,340.59
954.54,310.25,339.9,339.75
956.96,308.01,341.22,342.28
952.95,306.43,339.3,341.74
953.08,307.34,339.64,341.07
952.47,307.48,339.45,339.14
952.76,307.19,339.59,338.11
954.64,306.68,341.82,338.02
956.25,306.83,340.34,340.89
953.2,308.65,339.78,341.17
958.94,308.19,340.39,341.0
955.15,308.77,340.84,341.55
955.48,307.47,339.65,340.95
953.55,307.07,338.7,341.38
955.54,308.45,338.38,341.41
959.62,306.92,341.01,340.72
956.75,310.2,339.89,341.54
958.39,308.15,339.17,341.17
953.87,309.39,339.5,340.64
953.89,307.72,339.94,340.63
955.13,306.78,340.04,341.49
957.09,307.23,341.53,341.22
954.99,310.6,339.95,339.95
953.58,309.01,338.8,337.39
955.85,309.13,339.5,341.15
953.32,307.45,340.05,340.03
958.13,308.1,340.16,341.39
954.57,309.88,339.63,339.09
948.82,308.13,336.42,336.33
955.49,307.68,339.98,340.87
958.99,309.39,340.74,340.9
955.47,310.17,339.05,339.42
959.83,309.31,340.85,342.48
959.41,311.02,340.57,340.56
955.99,310.31,338.68,340.44
955.39,308.68,340.59,340.96
954.86,307.45,340.21,340.27
953.29,307.31,339.67,340.5
958.4,306.68,340.42,341.73
956.79,309.5,341.04,340.4
956.58,307.19,340.94,341.51
955.69,308.11,339.35,340.95
956.8,308.52,340.15,340.35
959.66,310.45,340.5,341.17
954.13,310.26,339.31,341.35
957.61,307.58,339.78,341.03
953.38,308.48,338.11,341.49
956.66,306.53,339.59,341.66
957.41,309.14,340.86,342.3
955.54,308.19,338.77,340.1
957.19,309.12,340.33,341.54
956.94,307.55,339.85,341.52
956.4,308.64,339.25,341.35
955.09,307.99,337.27,338.81
955.07,308.96,339.79,339.76
957.13,307.11,341.0,340.57
955.41,307.84,339.45,340.87
957.25,308.59,340.89,340.06
957.23,308.2,340.35,340.96
951.67,307.9,339.41,340.26
956.84,308.23,340.36,340.73
955.79,308.19,339.51,340.44
956.37,308.29,340.28,341.06
955.48,307.62,339.31,341.03
955.63,307.99,340.42,340.88
955.79,307.09,338.81,340.41
957.02,309.06,339.03,340.86
955.28,309.72,339.27,341.51
954.58,307.82,340.27,341.37
957.55,306.62,341.33,340.9
954.7,308.11,339.44,341.32
954.67,307.15,339.65,339.38
957.68,310.7,339.79,340.24
959.4,310.15,340.74,341.73
956.3,310.8,340.33,341.05
952.87,308.1,338.5,340.54
951.45,308.11,336.7,340.95
956.75,307.34,337.66,341.0
956.25,310.75,338.53,341.32
954.55,309.38,339.63,341.98
954.51,307.61,339.61,338.2
959.07,308.72,336.66,341.31
955.79,307.81,339.59,341.38
953.89,307.83,339.74,340.18
955.75,308.25,339.47,341.05
955.44,307.53,338.99,341.63
953.47,307.26,339.54,341.14
957.28,307.41,340.73,340.96
954.82,308.83,340.81,339.41
956.22,306.86,341.26,341.11
954.99,307.33,339.8,341.19
955.89,307.19,340.41,340.56
954.58,308.05,338.84,340.46
956.74,306.9,339.91,340.55
953.42,307.2,339.02,339.54
957.16,306.24,340.74,341.14
954.53,307.24,338.51,340.7
957.58,307.53,339.81,341.46
953.3,308.11,338.54,339.9
952.83,307.57,337.86,341.24
956.62,306.9,339.71,341.63
953.6,307.66,340.01,338.4
956.38,307.18,340.73,340.81
953.66,307.32,339.46,341.03
957.25,307.04,339.22,341.65
956.25,307.6,339.02,341.66
957.76,307.9,338.7,341.64
956.62,307.8,340.91,340.94
957.2,307.42,340.09,341.12
957.2,307.1,339.88,342.14
954.9,306.97,338.33,341.49
949.77,307.41,336.15,339.63
956.54,306.44,339.09,340.8
955.99,308.23,340.18,341.51
955.79,307.05,340.25,341.02
955.42,307.34,339.5,340.24
957.07,307.47,340.29,341.97
958.78,307.47,340.21,340.58
952.05,308.98,339.1,338.12
954.56,308.22,340.49,340.77
955.49,308.44,339.23,340.56
955.46,307.77,339.77,340.93
954.6,307.69,339.56,339.55
957.73,308.14,339.15,341.21
954.28,307.77,339.17,340.07
956.26,306.86,340.59,341.36
955.43,306.95,339.76,340.87
951.91,308.04,338.67,338.23
953.7,308.31,338.92,337.91
954.02,307.52,340.02,340.15
952.32,308.37,339.46,340.05
957.56,307.97,340.07,340.06
956.7,308.93,333.51,339.79
958.52,308.89,340.12,340.74
956.61,308.98,340.45,339.21
954.89,309.59,340.37,339.65
952.74,309.24,339.8,338.21
957.85,308.11,340.72,340.65
956.28,310.55,339.94,341.66
956.8,309.89,338.72,341.24
954.55,307.48,340.06,339.05
953.65,308.99,339.94,339.94
958.13,308.02,340.84,341.04
957.03,308.15,339.2,341.03
955.14,307.75,339.47,341.04
958.34,308.46,339.94,341.99
958.67,308.01,341.35,340.63
956.54,308.39,339.29,341.31
956.42,307.9,339.38,340.5
956.71,308.82,340.57,340.42
956.74,308.13,339.63,341.34
955.02,307.44,340.08,338.4
955.55,309.27,339.9,339.18
956.08,309.44,339.34,339.12
955.14,308.19,339.45,338.49
953.43,308.35,339.14,338.38
954.69,307.45,339.77,340.75
953.74,308.31,339.3,339.41
955.55,308.36,340.4,341.55
954.51,307.6,339.98,340.16
953.99,308.18,340.03,340.56
953.69,307.06,339.63,339.81
949.72,307.46,338.38,338.19
953.12,307.76,339.24,338.36
954.67,308.19,338.64,340.11
953.69,307.32,339.48,339.93
953.04,308.65,339.29,336.94
954.33,310.21,339.39,338.99
956.02,309.98,339.48,341.57
954.79,308.18,340.13,340.34
953.41,307.4,339.46,339.29
953.69,307.66,340.51,340.2
