total_output_power,pa1,pa2,pa3
709.62,241.21,242.55,241.12
706.36,240.28,243.02,240.14
707.66,240.95,242.02,240.04
706.99,240.66,241.51,240.7
707.5,240.83,242.8,240.93
707.81,242.14,242.35,240.88
705.73,241.72,241.49,240.48
706.19,241.83,240.45,241.86
705.05,241.13,240.77,241.77
708.64,242.12,240.46,242.32
707.92,240.67,240.31,241.46
706.86,241.2,241.71,241.77
707.16,241.58,240.35,241.11
707.16,241.31,240.93,240.96
706.82,241.29,240.99,241.42
708.31,240.92,241.17,240.97
707.05,241.83,242.63,241.84
707.68,241.19,241.11,241.74
709.21,241.09,241.58,240.65
707.25,241.08,243.24,240.54
708.98,241.88,242.88,241.42
708.73,241.05,242.65,242.8
707.31,240.92,243.3,241.71
706.63,240.71,242.55,241.99
708.12,241.19,240.16,243.15
707.94,241.91,240.05,243.44
707.61,241.17,240.56,242.24
707.28,241.41,239.87,241.3
708.26,241.41,241.17,241.21
707.91,241.55,242.79,241.23
708.09,241.26,241.89,241.06
706.19,240.79,242.35,239.88
707.79,240.8,242.16,242.27
707.84,241.27,243.27,242.06
706.12,240.29,241.33,240.95
705.39,239.81,240.65,240.77
708.32,240.6,241.58,241.11
708.58,241.45,241.74,241.54
706.06,241.03,241.92,240.43
706.85,241.48,241.36,241.39
705.39,240.37,241.72,240.14
708.37,240.82,240.44,242.16
708.09,240.38,242.08,242.18
708.95,240.61,241.7,242.77
708.95,240.69,241.7,243.39
707.29,240.52,241.88,242.71
707.26,240.32,241.62,242.75
707.31,239.67,241.34,243.0
707.61,240.2,241.55,242.13
707.62,240.86,241.43,242.03
707.5,240.55,241.77,241.94
708.88,241.56,241.32,242.15
707.99,241.67,242.07,241.27
708.76,240.99,242.22,242.35
708.45,240.76,242.06,241.25
707.82,240.98,242.26,241.55
707.89,240.77,242.15,242.01
705.99,240.21,242.86,242.22
705.99,240.53,241.66,241.67
706.56,240.23,240.59,241.66
708.01,240.62,240.69,242.32
709.87,240.76,241.32,242.76
708.34,240.41,242.4,241.95
707.88,239.96,241.7,241.92
708.08,239.99,241.45,242.51
708.85,239.51,241.23,242.72
708.25,240.01,241.79,242.68
707.95,240.24,241.86,242.22
708.35,239.84,241.95,242.56
709.1,240.4,242.54,242.33
708.72,240.31,242.92,243.15
709.77,241.45,241.85,243.35
709.47,241.07,242.72,242.06
706.7,240.21,242.53,241.89
707.43,240.05,241.46,241.27
706.71,239.92,242.27,241.13
706.3,240.32,242.96,241.1
707.6,240.83,242.65,241.64
709.37,240.72,242.24,241.79
707.85,240.66,242.56,241.25
706.28,241.01,241.69,240.88
707.47,242.04,241.38,241.04
706.42,240.12,241.33,241.4
707.01,240.16,241.71,241.15
708.91,240.79,241.79,241.87
708.25,240.99,242.22,242.22
706.99,240.01,242.11,241.54
706.58,240.49,241.1,241.47
707.38,240.57,241.32,240.65
708.53,240.55,241.44,241.4
707.94,240.71,242.0,241.5
709.85,241.56,241.94,242.66
709.13,241.67,242.52,242.39
709.91,240.52,241.85,242.99
708.58,241.12,242.19,242.76
706.66,240.57,241.84,242.55
709.82,242.38,240.65,241.69
711.41,242.01,242.1,242.47
708.36,241.22,242.28,242.88
710.71,241.51,240.9,242.77
710.06,241.45,242.84,242.54
710.11,241.07,242.62,241.6
708.18,240.89,243.2,240.79
707.54,241.01,242.6,241.2
707.35,241.34,241.52,241.54
708.57,241.19,240.65,241.77
710.26,241.42,241.88,242.81
708.68,240.62,242.51,240.79
706.77,240.21,242.99,240.83
708.97,240.6,241.96,242.23
708.91,240.08,242.28,242.15
706.58,240.62,242.69,242.07
708.25,241.13,240.55,242.24
710.24,241.45,240.95,242.79
712.23,242.44,241.44,242.11
710.54,242.78,242.65,241.75
710.88,241.21,241.64,242.61
711.79,241.08,242.37,242.97
708.95,240.96,242.59,241.99
708.76,240.06,242.01,241.76
709.47,240.45,241.71,241.95
710.22,240.97,242.17,242.54
708.46,240.66,241.77,242.4
710.16,240.67,241.94,241.99
708.95,240.96,241.98,242.01
710.48,241.09,241.76,242.73
708.78,240.86,242.4,241.73
708.24,240.07,242.41,242.41
710.28,239.62,242.23,242.3
709.73,242.4,242.62,242.98
708.27,241.72,241.85,242.52
710.53,240.88,240.77,242.43
709.93,240.65,242.33,242.58
709.91,240.77,242.01,242.5
709.03,240.58,242.31,242.62
707.76,240.33,242.47,242.16
709.15,241.01,241.9,242.39
709.65,240.93,241.94,242.18
709.77,241.6,241.89,242.22
709.7,241.01,241.75,242.79
708.37,240.36,242.71,241.91
711.24,241.35,242.07,243.1
707.32,240.96,242.1,242.88
707.59,241.36,241.57,242.93
707.08,241.59,240.32,242.22
709.88,242.07,239.47,242.57
710.39,242.38,241.56,242.31
712.57,242.49,242.12,242.63
709.58,242.62,242.16,241.43
707.92,241.23,241.84,242.03
711.86,241.35,241.8,241.52
708.95,240.1,241.92,241.88
708.6,240.77,242.29,241.66
709.0,240.66,242.1,242.01
707.66,240.52,242.14,241.32
708.53,240.58,242.18,242.0
710.0,241.26,242.14,242.09
710.05,241.59,242.49,242.77
709.25,241.23,242.37,241.16
707.82,242.22,242.36,241.0
707.21,239.97,241.14,240.9
706.32,240.56,241.77,240.69
706.67,240.2,241.78,240.99
707.22,240.83,241.42,240.52
710.49,242.74,241.1,242.1
711.7,242.71,242.17,242.72
710.46,242.57,241.3,242.65
710.03,233.61,242.04,243.34
708.25,240.88,243.06,243.06
706.83,240.22,242.65,242.19
707.81,240.46,241.69,242.53
707.03,240.78,241.16,242.53
709.64,241.8,241.09,242.0
710.3,242.39,242.16,241.93
707.51,240.42,242.33,241.96
706.64,240.21,242.22,241.01
705.99,240.03,241.54,241.08
707.97,240.62,241.01,240.99
706.51,240.62,241.87,241.69
707.47,240.26,242.08,241.45
707.1,240.14,243.1,241.4
706.54,240.35,243.22,241.89
706.34,240.37,241.52,241.47
707.32,240.33,241.58,241.59
708.61,240.66,241.53,241.79
706.42,240.78,242.76,241.42
706.81,240.97,241.67,241.24
708.14,242.07,241.35,241.39
707.94,240.49,242.23,242.28
707.21,240.88,242.35,242.06
709.83,241.54,241.62,242.35
707.66,241.97,241.72,241.08
708.58,241.31,241.54,241.1
704.99,239.19,242.56,240.88
707.91,240.56,242.3,241.51
707.28,240.51,242.6,241.62
707.45,241.06,241.69,241.46
710.82,243.32,240.7,241.89
706.24,240.61,242.97,241.03
709.01,242.36,240.86,241.07
708.89,241.37,242.44,241.35
705.96,240.66,242.25,241.66
706.6,240.02,241.21,241.2
707.11,240.74,240.99,241.54
707.01,240.68,242.58,241.47
705.52,240.32,241.76,241.56
706.14,240.37,241.36,241.79
706.84,240.39,240.94,241.45
705.2,239.95,241.84,241.12
704.78,239.79,241.07,241.66
707.61,240.54,240.69,241.87
708.66,241.1,241.88,241.0
707.22,240.88,241.91,241.66
706.41,241.04,241.98,240.98
704.99,240.44,241.16,241.09
706.24,240.48,240.63,241.25
707.06,240.76,240.8,241.48
707.75,240.52,241.69,241.59
708.55,240.78,242.03,242.22
705.35,240.09,242.4,241.43
708.05,241.44,240.53,241.34
709.23,242.16,240.39,241.67
705.71,239.98,242.37,241.11
706.75,240.22,241.83,241.78
706.83,240.81,240.99,241.87
706.39,240.76,241.22,241.42
706.9,241.09,241.47,241.39
707.65,240.32,240.86,241.33
707.65,240.46,241.09,241.33
708.51,241.21,242.0,240.97
709.15,241.34,242.38,241.67
707.3,241.11,242.61,241.03
705.98,240.67,241.36,240.65
707.22,241.23,241.54,241.03
709.02,241.3,242.04,241.59
706.77,240.96,242.66,241.02
705.94,240.77,241.55,241.24
706.69,240.78,241.77,241.22
707.88,240.41,242.59,242.02
705.83,240.92,240.77,241.11
706.73,240.27,240.77,241.68
709.43,240.65,241.41,242.02
708.01,241.18,243.98,241.87
706.15,241.0,242.33,241.59
707.53,240.47,241.42,241.6
707.95,241.31,242.45,242.21
705.66,240.09,242.67,241.2
708.91,243.48,242.33,241.23
708.84,243.06,242.56,241.57
708.58,242.72,242.1,241.05
708.48,242.1,242.27,241.94
706.13,239.63,241.89,241.73
706.05,239.87,241.63,241.45
707.56,239.98,242.44,240.95
707.02,240.09,242.99,242.47
708.93,241.23,242.54,241.27
709.78,242.24,242.57,242.16
711.0,242.66,242.12,243.25
709.07,242.09,242.57,240.66
708.75,242.77,241.91,240.28
708.72,243.26,242.39,240.77
706.66,240.41,241.96,241.9
705.97,240.44,241.64,242.0
706.04,240.54,241.22,241.33
706.95,240.32,242.02,241.1
708.33,240.63,242.78,241.07
706.32,240.47,242.45,241.15
708.65,240.66,242.27,241.56
708.58,243.09,241.38,240.77
708.15,242.72,241.38,241.45
709.43,241.43,241.89,243.22
709.09,240.55,242.33,241.94
705.66,240.88,241.77,240.69
705.23,240.88,241.42,240.92
707.87,240.65,241.66,242.14
707.76,241.34,240.76,242.89
707.47,241.11,241.5,242.31
706.66,240.65,240.65,242.87
706.07,240.74,240.65,242.25
708.33,240.93,240.96,242.38
706.88,240.73,242.42,240.91
706.98,240.54,242.45,240.89
706.94,240.7,242.0,241.54
708.18,241.9,241.73,241.2
709.52,242.83,240.95,241.61
708.64,240.72,240.78,242.22
709.91,241.1,242.22,242.18
708.99,241.16,242.22,242.69
709.88,241.65,241.87,242.46
709.85,241.3,242.66,241.66
705.61,239.64,241.54,241.62
707.19,240.52,240.87,241.97
706.96,240.76,240.44,241.7
708.57,241.03,241.26,241.64
708.42,240.56,241.76,242.4
707.16,240.59,241.82,241.66
707.32,240.63,241.89,241.57
707.41,241.13,241.46,241.99
708.23,241.45,241.88,242.22
710.22,241.56,241.88,242.44
708.07,240.22,242.22,241.99
707.65,240.97,241.44,242.37
706.85,240.81,241.43,241.97
706.94,240.55,241.32,241.7
708.07,241.61,241.09,241.93
707.34,241.77,241.89,241.71
707.81,241.13,241.66,241.95
709.24,240.99,241.78,242.99
709.58,241.57,241.89,242.99
709.25,241.93,241.45,242.76
707.58,241.74,241.51,240.76
707.69,240.99,242.14,241.39
707.03,240.88,242.53,240.48
706.36,240.88,242.4,240.26
708.84,240.81,241.58,242.31
706.91,240.45,242.17,242.47
707.32,240.58,241.56,243.13
707.62,241.33,241.67,241.76
707.62,241.13,241.43,242.05
707.07,240.74,241.1,242.31
708.49,241.04,240.83,242.18
708.43,241.12,241.52,241.99
708.68,240.81,241.49,242.4
710.47,241.5,242.23,242.72
708.17,241.16,241.8,241.54
705.99,240.43,241.29,241.77
708.95,241.53,240.99,241.64
709.04,242.05,241.76,242.39
707.33,241.48,242.59,240.16
705.86,241.75,241.59,240.57
705.77,241.22,240.54,241.88
707.09,241.07,241.08,241.73
708.68,241.0,241.69,241.72
706.17,239.99,241.92,241.03
706.68,240.99,241.54,241.44
707.98,241.1,241.32,241.77
706.23,240.31,241.55,241.21
708.07,240.7,241.21,242.2
708.32,241.12,241.32,242.31
707.11,240.94,242.0,242.64
707.61,240.76,241.7,242.22
707.56,240.63,241.7,242.05
706.64,240.9,241.67,241.72
705.02,241.53,241.68,240.32
705.41,240.69,242.11,240.76
708.29,240.85,241.42,242.21
707.08,240.14,241.72,242.31
706.94,239.81,241.35,242.19
707.95,240.99,241.25,241.34
707.61,241.33,241.82,241.11
706.89,239.96,242.16,241.1
706.98,240.43,242.25,240.99
706.99,240.89,241.56,240.77
708.26,240.27,242.0,241.65
710.85,241.37,242.0,241.96
708.52,239.33,241.62,242.79
708.15,240.73,242.49,241.99
709.19,240.96,241.83,242.6
706.8,240.91,242.19,240.93
708.57,241.36,241.43,242.25
710.23,241.19,242.16,242.53
708.29,240.66,242.65,242.11
708.95,240.66,242.33,242.39
709.04,241.08,241.9,241.76
708.59,240.89,242.23,241.49
709.72,240.88,242.84,242.88
710.27,240.84,242.71,243.03
709.47,240.57,241.99,240.75
706.57,240.52,243.11,240.0
709.0,240.55,241.9,242.05
708.28,240.35,242.11,242.23
707.34,239.22,242.22,241.8
707.53,240.46,241.67,241.44
709.28,241.73,242.23,241.39
709.1,240.34,241.89,242.15
709.02,240.42,242.35,242.91
709.06,240.89,242.15,242.26
709.29,241.85,242.56,242.28
709.96,242.2,241.72,242.1
709.59,242.45,241.13,241.53
708.73,241.74,241.53,242.45
708.43,240.05,241.88,242.33
708.91,242.89,241.69,241.19
708.1,240.54,241.78,241.89
708.95,240.58,242.28,242.67
708.02,239.86,241.99,242.35
707.15,240.85,241.74,241.87
707.02,240.46,241.54,241.32
707.23,241.3,241.22,241.54
708.65,241.4,241.43,241.77
707.95,240.66,241.8,241.96
707.62,240.72,241.97,242.11
707.8,240.95,240.86,240.99
705.88,241.37,241.21,240.99
708.22,240.97,241.43,242.21
708.58,240.44,241.21,242.99
707.26,240.77,241.44,241.64
708.77,240.76,242.13,241.61
710.31,240.88,241.81,242.6
707.57,241.03,242.04,241.17
708.66,240.83,242.14,241.62
709.11,241.06,242.06,241.27
707.71,240.32,241.6,240.81
708.18,240.95,241.46,241.21
706.98,241.53,241.91,241.1
708.29,240.98,241.26,242.32
709.21,240.99,241.65,242.22
708.1,241.1,241.46,241.94
709.52,241.04,241.22,241.74
708.61,240.49,241.94,241.71
709.28,241.34,242.89,242.91
709.72,241.84,241.99,242.1
707.81,241.85,242.05,241.62
708.02,241.45,241.22,241.68
708.93,241.99,241.22,241.66
708.5,241.72,241.02,241.98
709.98,241.31,241.39,242.37
709.1,241.79,241.47,242.92
708.74,241.55,241.57,242.85
707.44,241.3,241.56,241.49
706.46,240.96,241.02,241.8
706.81,241.33,240.84,241.78
710.59,242.66,241.1,242.99
708.31,242.14,241.44,240.91
709.11,241.93,241.21,241.85
709.86,242.9,241.75,241.66
706.51,241.91,241.5,241.72
708.29,241.99,240.82,242.05
707.61,241.65,241.21,241.47
708.13,241.88,241.17,241.99
707.77,241.17,241.17,241.85
708.62,240.76,241.56,241.21
707.95,241.12,243.56,242.23
707.02,241.34,242.91,240.72
709.21,240.74,241.82,241.62
710.66,241.67,242.28,242.25
709.12,241.81,242.61,242.06
707.87,241.16,241.14,241.69
708.84,241.82,241.24,242.56
709.64,241.33,241.13,242.0
708.59,241.34,242.0,242.42
709.56,241.18,241.32,242.92
709.92,241.87,241.55,242.83
708.57,242.22,241.66,241.32
707.23,241.54,241.78,240.93
706.98,241.76,241.77,240.77
704.89,241.36,241.5,240.1
