total_output_power,pa1,pa2,pa3
891.94,321.91,321.23,331.1
897.82,321.4,320.12,330.51
895.0,324.28,316.81,328.22
893.73,321.68,318.62,328.01
893.78,320.09,318.05,329.2
892.83,321.46,320.02,330.34
895.38,322.57,321.04,331.03
897.98,321.55,318.93,331.03
896.19,321.64,318.11,329.66
893.68,320.86,317.7,329.65
892.59,323.29,320.94,331.65
900.25,322.5,319.27,330.36
896.9,321.11,318.74,328.66
894.05,323.47,321.39,332.38
901.25,320.82,319.61,329.72
893.79,321.71,319.99,331.37
895.58,322.03,317.97,327.95
893.31,320.1,318.87,330.36
894.81,323.21,319.77,331.84
899.4,323.09,319.17,329.95
895.86,323.73,320.33,331.11
899.92,320.18,320.09,331.19
896.32,321.89,320.12,331.0
896.51,321.54,317.6,329.09
894.24,320.75,318.64,329.0
892.65,322.32,319.82,331.47
897.24,321.03,319.23,329.44
894.11,322.78,319.47,330.14
894.88,321.76,318.93,328.12
894.21,322.48,320.86,332.49
901.26,320.73,319.46,329.97
894.1,320.77,317.96,331.14
893.56,322.57,317.97,332.1
895.7,320.66,319.56,330.12
894.52,323.66,321.43,332.08
899.27,322.74,317.95,328.95
894.65,324.47,321.26,331.83
901.27,321.25,319.77,331.22
894.98,321.22,320.6,330.98
894.51,321.98,319.68,329.24
894.61,320.62,317.8,329.0
893.86,324.09,320.83,330.72
897.8,321.65,319.3,329.94
893.3,324.1,321.23,328.99
896.81,322.61,320.19,331.22
894.52,321.19,321.51,332.91
893.59,322.91,319.41,329.32
894.57,321.69,318.42,328.84
895.69,324.05,321.13,330.75
902.47,322.5,320.82,332.29
901.63,323.06,319.46,329.51
899.11,321.81,321.22,331.88
901.26,320.68,317.0,330.7
895.91,321.62,316.88,330.49
898.22,321.37,317.8,329.13
894.52,322.6,321.83,332.05
902.54,322.03,319.27,331.01
898.89,323.66,320.95,331.0
901.16,321.77,320.42,332.27
901.26,319.99,318.89,330.22
897.35,324.83,319.08,331.36
900.92,320.35,317.13,329.58
894.8,321.89,320.27,330.51
898.56,322.2,320.31,331.26
900.62,322.73,320.18,330.5
902.43,322.7,321.6,331.88
903.32,320.51,318.01,331.09
897.52,323.18,319.71,331.24
900.54,322.22,317.68,329.38
896.88,321.78,321.04,330.18
899.96,322.23,319.37,332.44
898.9,324.36,318.88,330.49
898.49,323.5,321.99,331.61
903.4,321.1,318.55,331.61
898.64,321.06,318.85,331.21
898.88,322.4,317.51,331.27
898.43,321.34,320.9,330.94
898.7,321.77,320.24,331.43
899.52,322.84,317.77,329.2
897.04,322.09,321.34,332.69
902.35,320.82,318.54,331.67
898.21,322.25,318.57,332.68
899.09,323.13,318.46,330.22
897.1,320.8,319.45,330.43
896.85,322.32,320.2,331.84
900.84,323.3,318.88,331.22
897.36,323.62,320.91,331.49
901.7,322.37,321.37,331.95
900.32,320.57,318.59,328.27
893.73,325.29,319.77,329.47
900.62,323.74,318.1,328.54
896.15,321.44,317.96,330.73
897.25,322.46,321.62,332.82
902.67,319.87,318.31,332.01
897.68,323.79,320.6,330.13
901.41,321.82,319.7,331.32
899.67,321.1,317.58,328.96
894.99,321.96,319.54,329.82
897.25,321.33,317.57,328.75
895.33,320.75,321.52,330.97
901.51,322.84,321.3,331.69
899.23,323.92,317.86,328.72
894.14,323.16,321.43,330.97
900.82,321.37,317.82,329.06
895.94,319.87,319.22,330.2
897.25,322.45,317.26,329.01
897.31,321.03,318.45,329.73
895.59,322.77,321.64,331.92
903.22,320.35,319.42,329.02
896.63,324.12,317.87,328.62
896.54,322.7,319.57,331.41
900.39,321.07,319.54,333.11
900.07,320.11,322.21,330.87
900.2,322.02,317.78,328.35
896.82,321.0,318.12,327.52
897.62,321.95,319.52,330.73
898.6,321.47,319.44,329.73
898.93,324.05,319.29,330.24
899.59,322.57,320.16,329.51
899.61,321.56,319.87,330.82
899.17,319.36,319.55,329.67
895.4,322.2,317.48,328.53
895.74,320.37,318.59,329.16
896.62,323.14,320.41,329.86
899.84,320.96,319.25,330.36
898.62,323.75,319.02,330.06
899.48,323.06,318.2,328.54
897.25,322.29,319.81,331.74
901.95,320.51,319.67,328.85
896.24,321.85,317.6,328.47
894.04,320.34,318.5,331.35
895.93,320.64,318.42,330.99
896.98,322.58,321.27,332.34
896.63,322.98,318.05,331.35
896.98,322.33,318.27,327.65
896.59,322.43,320.24,330.01
899.26,320.79,318.56,330.05
897.22,322.27,317.68,329.01
895.42,320.94,317.2,330.46
894.66,320.29,317.82,331.21
895.31,322.96,319.7,331.1
896.24,321.69,320.24,331.99
896.26,322.31,317.81,328.62
895.01,323.2,320.09,330.09
899.56,321.97,321.12,331.07
902.54,320.69,318.33,328.88
895.79,321.24,319.29,329.59
896.1,320.1,318.81,329.16
896.47,321.94,320.43,330.32
899.89,321.32,319.8,329.82
897.64,322.33,318.99,329.93
898.26,320.48,318.17,330.41
895.2,319.65,318.16,327.32
894.91,322.39,321.08,330.87
901.96,322.1,319.86,330.7
899.33,324.36,317.67,327.81
895.79,319.9,319.3,330.49
897.48,320.06,318.35,328.12
895.96,321.95,320.89,331.02
902.55,322.54,318.54,328.73
898.82,321.64,317.66,328.36
895.98,322.25,320.1,331.36
901.35,321.38,319.81,329.6
898.76,321.46,318.57,328.62
895.94,320.61,320.69,330.69
898.09,320.1,318.59,328.8
895.33,322.58,321.08,330.99
899.96,321.41,318.92,328.68
897.88,321.24,318.74,328.8
896.61,321.41,318.89,329.11
900.28,321.81,321.04,331.83
903.86,321.06,319.81,330.42
901.74,321.66,318.57,329.15
